"","x"
"154","Tbrucei---Tb927.11.10620"
"155","Tbrucei---Tb927.9.5900"
"156","Tbrucei---Tb927.7.6630"
"157","Tbrucei---Tb927.3.5220"
"158","Tbrucei---Tb927.6.510"
"159","Tbrucei---Tb927.9.6130"
"160","Tbrucei---Tb927.7.5790"
"161","Tbrucei---Tb927.9.13070"
"162","Tbrucei---Tb927.2.560"
"163","Tbrucei---Tb927.6.1520"
"164","Tbrucei---Tb927.10.15760"
"165","Tbrucei---Tb927.2.450"
"166","Tbrucei---Tb927.11.7380"
"167","Tbrucei---Tb927.10.7690"
"168","Tbrucei---Tb927.11.890"
"169","Tbrucei---Tb927.3.2230"
"170","Tbrucei---Tb927.4.2080"
"171","Tbrucei---Tb927.2.4580"
"172","Tbrucei---Tb927.5.850"
"173","Tbrucei---Tb927.10.15250"
"174","Tbrucei---Tb927.4.5010"
"175","Tbrucei---Tb927.11.7600"
"176","Tbrucei---Tb927.7.4470"
"177","Tbrucei---Tb927.10.10260"
"178","Tbrucei---Tb927.10.2360"
"179","Tbrucei---Tb927.10.890"
"180","Tbrucei---Tb927.10.6730"
"181","Tbrucei---Tb927.2.1120"
"182","Tbrucei---Tb927.10.5770"
"183","Tbrucei---Tb927.11.9980"
"184","Tbrucei---Tb927.2.340"
"185","Tbrucei---Tb927.10.7410"
"186","Tbrucei---Tb927.9.5730"
"187","Tbrucei---Tb927.5.1000"
"188","Tbrucei---Tb05.5K5.40"
"189","Tbrucei---Tb927.8.1870"
"190","Tbrucei---Tb927.11.13230"
"191","Tbrucei---Tb927.8.4780"
"192","Tbrucei---Tb927.7.2110"
"193","Tbrucei---Tb927.11.8160"
"194","Tbrucei---Tb927.9.13380"
"195","Tbrucei---Tb927.8.3590"
"196","Tbrucei---Tb927.8.5120"
"197","Tbrucei---Tb927.7.760"
"198","Tbrucei---Tb927.7.3550"
"199","Tbrucei---Tb927.8.4190"
"200","Tbrucei---Tb927.8.3560"
"201","Tbrucei---Tb927.10.4570"
"202","Tbrucei---Tb927.9.13440"
"203","Tbrucei---Tb927.7.2650"
"204","Tbrucei---Tb927.5.1640"
"205","Tbrucei---Tb927.9.2470"
"206","Tbrucei---Tb927.8.3550"
"207","Tbrucei---Tb927.8.6750"
"208","Tbrucei---Tb927.4.1910"
"209","Tbrucei---Tb927.7.6850"
"210","Tbrucei---Tb927.5.4380"
