"","x"
"153","Tbrucei---Tb927.11.8160"
"154","Tbrucei---Tb927.8.3590"
"155","Tbrucei---Tb927.7.760"
"156","Tbrucei---Tb927.8.3560"
"157","Tbrucei---Tb927.9.13440"
"158","Tbrucei---Tb927.5.1640"
"159","Tbrucei---Tb927.8.3550"
"160","Tbrucei---Tb927.5.4380"
"161","Tbrucei---Tb927.8.8330"
"162","Tbrucei---Tb927.10.1390"
"163","Tbrucei---Tb927.10.7930"
"164","Tbrucei---Tb927.11.14300"
"165","Tbrucei---Tb927.11.2400"
"166","Tbrucei---Tb927.9.9100"
"167","Tbrucei---Tb927.9.15400"
"168","Tbrucei---Tb927.2.2670"
"169","Tbrucei---Tb927.11.11435"
"170","Tbrucei---Tb927.11.2540"
"171","Tbrucei---Tb927.10.2880"
"172","Tbrucei---Tb927.6.620"
"173","Tbrucei---Tb927.7.7510"
"174","Tbrucei---Tb927.9.4500"
"175","Tbrucei---Tb927.11.1280"
"176","Tbrucei---Tb927.8.4580"
"177","Tbrucei---Tb927.4.4740"
"178","Tbrucei---Tb927.11.1150"
"179","Tbrucei---Tb927.10.8890"
"180","Tbrucei---Tb927.6.3670"
"181","Tbrucei---Tb927.8.2780"
"182","Tbrucei---Tb927.10.7120"
"183","Tbrucei---Tb927.11.9100"
"184","Tbrucei---Tb927.11.15190"
"185","Tbrucei---Tb927.10.2810"
"186","Tbrucei---Tb927.10.1400"
"187","Tbrucei---Tb927.8.2861"
"188","Tbrucei---Tb927.10.530"
"189","Tbrucei---Tb927.8.3530"
"190","Tbrucei---Tb927.6.3290"
"191","Tbrucei---Tb927.7.2320"
"192","Tbrucei---Tb927.10.8780"
"193","Tbrucei---Tb927.11.6050"
"194","Tbrucei---Tb927.6.4520"
"195","Tbrucei---Tb927.4.4460"
"196","Tbrucei---Tb927.11.7580"
"197","Tbrucei---Tb927.6.1660"
"198","Tbrucei---Tb927.11.15800"
"199","Tbrucei---Tb927.5.630"
"200","Tbrucei---Tb927.8.2550"
"201","Tbrucei---Tb927.9.12570"
"202","Tbrucei---Tb927.6.4300"
"203","Tbrucei---Tb927.10.15760"
"204","Tbrucei---Tb927.10.3990"
"205","Tbrucei---Tb927.9.10230"
"206","Tbrucei---Tb927.9.2470"
"207","Tbrucei---Tb927.8.890"
"208","Tbrucei---Tb927.9.10770"
"209","Tbrucei---Tb927.7.2650"
"210","Tbrucei---Tb927.7.3550"
"211","Tbrucei---Tb927.10.4570"
"212","Tbrucei---Tb927.9.11600"
"213","Tbrucei---Tb927.11.9590"
"214","Tbrucei---Tb927.11.2610"
"215","Tbrucei---Tb927.10.2890"
"216","Tbrucei---Tb927.1.3830"
"217","Tbrucei---Tb927.5.1000"
"218","Tbrucei---Tb927.1.3950"
"219","Tbrucei---Tb927.5.1460"
"220","Tbrucei---Tb927.2.1890"
"221","Tbrucei---Tb927.9.6560"
"222","Tbrucei---Tb927.1.1500"
"223","Tbrucei---Tb927.3.3750"
"224","Tbrucei---Tb927.8.5120"
"225","Tbrucei---Tb927.3.4720"
"226","Tbrucei---Tb927.7.2660"
"227","Tbrucei---Tb927.9.13380"
"228","Tbrucei---Tb927.9.4750"
"229","Tbrucei---Tb927.7.4470"
"230","Tbrucei---Tb927.10.10140"
"231","Tbrucei---Tb927.3.720"
"232","Tbrucei---Tb927.11.3650"
"233","Tbrucei---Tb927.11.13270"
"234","Tbrucei---Tb927.10.4560"
"235","Tbrucei---Tb927.9.4680"
"236","Tbrucei---Tb927.11.11690"
"237","Tbrucei---Tb927.6.3500"
"238","Tbrucei---Tb927.10.5840"
"239","Tbrucei---Tb927.6.5070"
"240","Tbrucei---Tb927.10.540"
"241","Tbrucei---Tb927.8.1870"
"242","Tbrucei---Tb927.1.3850"
"243","Tbrucei---Tb927.10.10920"
"244","Tbrucei---Tb927.11.4460"
"245","Tbrucei---Tb927.4.4580"
"246","Tbrucei---Tb927.8.3150"
"247","Tbrucei---Tb927.11.1980"
